incident_id,date,state,n_killed,,,,,,,,,,,,,,,,
92597,1/3/14,Oregon,0,,,,,,,,,,,,,,,,
92987,1/3/14,New York,0,,,,,,,,,,,,,,,,
92755,1/3/14,Pennsylvania,2,,,,,,,,,,,,,,,,
92811,1/3/14,Oregon,1,,,,,,,,,,,,,,,,
92994,1/3/14,New Mexico,0,,,,,,,,,,,,,,,,
100284,1/3/14,New York,0,,,,,,,,,,,,,,,,
93393,1/3/14,Texas,0,,,,,,,,,,,,,,,,
93654,1/3/14,Virginia,0,,,,,,,,,,,,,,,,
93003,1/3/14,California,0,,,,,,,,,,,,,,,,
92768,1/3/14,Louisiana,0,,,,,,,,,,,,,,,,
93678,1/3/14,Louisiana,1,,,,,,,,,,,,,,,,
92653,1/3/14,Iowa,0,,,,,,,,,,,,,,,,
93219,1/3/14,Texas,1,,,,,,,,,,,,,,,,
92806,1/3/14,Montana,1,,,,,,,,,,,,,,,,
103603,1/3/14,Oklahoma,0,,,,,,,,,,,,,,,,
92657,1/3/14,Iowa,0,,,,,,,,,,,,,,,,
93281,1/3/14,North Carolina,0,,,,,,,,,,,,,,,,
92901,1/3/14,Arkansas,0,,,,,,,,,,,,,,,,
107320,1/3/14,Tennessee,0,,,,,,,,,,,,,,,,
92675,1/3/14,Montana,1,,,,,,,,,,,,,,,,
92764,1/3/14,Louisiana,0,,,,,,,,,,,,,,,,
93304,1/3/14,North Carolina,0,,,,,,,,,,,,,,,,
92681,1/3/14,California,0,,,,,,,,,,,,,,,,
93685,1/3/14,Louisiana,0,,,,,,,,,,,,,,,,
92919,1/3/14,Illinois,0,,,,,,,,,,,,,,,,
125330,1/3/14,Washington,1,,,,,,,,,,,,,,,,
92780,1/3/14,Ohio,1,,,,,,,,,,,,,,,,
94255,1/3/14,Florida,0,,,,,,,,,,,,,,,,
92929,1/3/14,Minnesota,1,,,,,,,,,,,,,,,,
92782,1/3/14,Virginia,0,,,,,,,,,,,,,,,,
94293,1/3/14,Indiana,0,,,,,,,,,,,,,,,,
93185,1/3/14,Texas,1,,,,,,,,,,,,,,,,
92784,1/3/14,Tennessee,0,,,,,,,,,,,,,,,,
94466,1/3/14,Texas,0,,,,,,,,,,,,,,,,
92996,1/3/14,California,1,,,,,,,,,,,,,,,,
107321,1/3/14,Michigan,0,,,,,,,,,,,,,,,,
103005,1/3/14,Oklahoma,1,,,,,,,,,,,,,,,,
92911,1/3/14,Illinois,1,,,,,,,,,,,,,,,,
